"X.ŽèVP_Nummer","Geschlecht","Alter","Beruf","Ergebnis","Tipp","Treffer","Eregbnis.2","Tipp.2","Treffer.2","Treffer_insgesamt","Wechselgrund","Frage2","Frage3","Frage4","Frage5","Frage6","Frage7","Frage8","Frage9","Raucher","VAR00001","Testleiter","Wechsel","ReihenfolgeWechsel","GewinnWunsch","BF"
1,0,25,0,51,0,51,56,0,56,107," ",5,1,3,3,4,3,3,3,0," ",1,0,NA,1,1
2,0,30,0,45,0,45,45,0,45,90," ",5,1,2,1,3,3,3,2,0," ",1,0,NA,0,1
3,1,33,0,39,1,61,53,0,53,114,"kann ich nicht begr’_nden aus einer Laune zur Abwechslung heraus",4,1,1,1,4,4,3,2,0," ",1,1,1,0,1.0122712272358871
4,0,22,0,48,0,48,50,1,50,98,"um beide Seiten zu messen",5,3,2,3,3,3,2,2,0," ",1,1,0,0,0.9749403350802671
5,0,24,0,48,1,52,46,0,46,98,"ich wollte mein gl’_ck probieren",5,2,3,3,4,3,3,3,0," ",1,1,1,1,0.9360181729829254
6,0,25,0,50,1,50,51,0,51,101,"weil es ein Zufallsexperiment ist und ich sagen w’_rde die chance ist 50/50",5,3,4,4,3,2,2,3,0," ",1,1,1,1,0.9436413182138971
7,0,28,0,49,0,49,46,0,46,95," ",5,2,4,3,5,3,2,4,0," ",1,0,NA,1,0.8579019342045513
8,0,23,0,50,1,50,51,1,49,99," ",5,3,5,2,3,3,4,5,1," ",1,0,NA,1,0.8348859559557382
9,1,21,0,46,1,54,46,1,54,108," ",5,2,4,2,2,3,4,3,1," ",1,0,NA,1,0.9405712870555423
10,0,22,0,49,0,49,50,1,50,99,"weil ich das gef’_hl hatte im ersten durchgang mehr von der anderen Seite hatte",5,2,3,1,4,2,3,2,1," ",1,1,0,1,0.9177159647507612
11,0,27,1,54,0,54,48,0,48,102," ",5,1,4,4,5,4,4,1,0,"Spiels’_chti",2,0,NA,1,0.9462461347201415
12,1,29,0,49,0,49,46,0,46,95," ",5,1,1,3,2,4,4,2,0," ",2,0,NA,0,0.8543980098922617
13,0,25,1,46,1,54,50,0,50,104,"Abwechslung",5,1,2,3,2,3,3,1,0," ",2,1,1,0,0.9101508835709764
14,0,25,1,48,1,52,49,1,51,103," ",5,1,5,5,5,1,4,1,0," ",2,0,NA,1,0.9580373863114027
15,1,29,1,45,0,45,53,0,53,98," ",5,1,2,3,2,3,3,2,1," ",2,0,NA,0,0.9154350057437415
16,0,31,1,52,0,52,46,1,54,106,"Weil ich die andere vorab gew’_hlt habe",5,1,1,1,5,4,4,1,0," ",2,1,0,0,1.021282020585745
17,1,29,1,53,0,53,53,0,53,106," ",4,1,2,4,2,5,3,3,1," ",2,0,NA,0,1.1507809656360395
18,0,29,1,46,1,54,55,1,45,99," ",4,1,1,2,5,4,4,1,1," ",2,0,NA,0,1.1215707682904157
19,1,28,1,41,0,41,52,0,52,93," ",5,1,4,3,4,3,3,3,1," ",2,0,NA,1,0.9462540342315017
20,1,29,1,41,0,41,54,0,54,95," ",5,2,4,4,5,4,2,4,1," ",2,0,NA,1,0.8537540650575495
21,0,20,0,45,0,45,54,0,54,99," ",5,2,1,2,2,1,1,NA,NA," ",3,0,NA,0,0.8342033505650209
22,0,51,1,59,0,59,51,1,49,108,"Ich wollte das auch blau mal gewinnt",5,4,1,3,5,2,4,NA,NA," ",3,1,0,0,0.9527798057176814
23,1,25,1,61,0,61,52,1,48,109,"Um zu merken ob der M’_nzwurf beeinflussbar ist",5,2,5,4,4,4,1,NA,NA," ",3,1,0,1,1.1150120733565265
24,0,27,1,37,0,37,39,0,39,76," ",3,2,2,1,4,2,2,NA,NA," ",3,0,NA,0,0.7197122430367152
25,0,30,1,57,0,57,51,0,51,108," ",5,1,1,1,1,4,1,NA,NA," ",3,0,NA,0,0.7843901263289719
26,0,30,1,62,0,62,41,0,41,103," ",5,2,4,4,2,1,1,NA,NA," ",3,0,NA,1,0.8094723541118467
27,1,30,1,47,0,47,50,0,50,97," ",5,1,2,2,2,1,5,NA,NA," ",3,0,NA,0,0.7757682638031115
28,0,32,1,46,1,54,48,1,52,106," ",5,1,4,2,2,2,1,NA,NA," ",3,0,NA,1,0.8310925730432591
29,0,21,0,47,1,53,48,1,52,105," ",3,1,4,2,1,2,1,NA,NA," ",3,0,NA,0,0.8829749249701844
30,0,21,0,40,1,60,47,1,53,113," ",5,1,2,4,2,2,1,NA,NA," ",3,0,NA,0,1.0383447021370176
31,1,35,0,50,0,50,46,1,54,104,"Weil mir beide Seiten gleich gut gefallen",5,2,5,1,4,3,3,5,0," ",4,1,0,1,1.098767525407961
32,0,21,0,42,0,42,47,0,47,89," ",5,2,5,3,5,3,4,4,1," ",4,0,NA,1,0.9199771160766675
33,0,20,0,45,1,55,55,1,45,100," ",5,3,5,4,4,4,4,3,0," ",4,0,NA,1,0.9171048930485723
34,1,23,0,47,1,53,54,0,54,107,"Nach 1. Durchgang Gef’_hl Zahl w’_re h’_ufiger gewesen",5,4,4,4,3,3,4,2,1," ",4,1,1,1,1.0020419170937447
35,1,24,1,48,0,48,48,0,48,96," ",5,2,3,2,2,3,3,1,0," ",4,0,NA,0,0.9431464286038254
36,1,22,1,54,0,54,59,0,59,113," ",5,3,4,3,4,3,3,1,0," ",4,0,NA,1,1.1084974926360587
37,0,22,1,41,0,41,52,0,52,93," ",5,2,3,2,4,3,3,3,0," ",4,0,NA,1,0.993908534511784
38,1,23,1,51,1,49,59,1,41,90," ",5,1,1,1,4,2,1,1,0," ",4,0,NA,0,0.8628457513032548
39,1,22,0,58,1,42,52,1,48,90," ",5,1,5,4,4,4,3,2,0," ",4,0,NA,1,0.7620775359239885
40,1,25,1,53,0,53,52,0,52,105," ",5,1,4,3,4,2,2,3,0," ",4,0,NA,1,0.8018915207092381
