"subject","time","condition","player","hitsR1","hitsR2","hitsR3","hitsR4","hitsR5","hitsR6","hitsR7","hitsR8","hitsR9","hitsR10","hitsR11","hitsR12","hitsR13","hitsR14","hitsR15","hitsR16","hitsR17","hitsR18","hitsR19","hitsR20","hitsR21","hitsR22","hitsR23","hitsR24","hitsR25","hitsR26","hitsR27","hitsR28","hitsR29","hitsR30","hitsR31","hitsR32","hitsR33","hitsR34","hitsR35","hitsR36","hitsR37","hitsR38","hitsR39","hitsR40","hitsR41","hitsR42","hitsR43","hitsR44","hitsR45","hitsR46","hitsR47","hitsR48","hitsR49","hitsR50","hitsR51","hitsR52","hitsR53","hitsR54","hitsR55","hitsR56","hitsR57","hitsR58","hitsR59","hitsR60","hitsR61","hitsR62","hitsR63","hitsR64","hitsR65","hitsR66","hitsR67","hitsR68","hitsR69","hitsR70","hitsR71","hitsR72","hitsR73","hitsR74","hitsR75","hitsR76","hitsR77","hitsR78","hitsR79","hitsR80","hitsR81","hitsR82","hitsR83","hitsR84","hitsR85","hitsR86","hitsR87","hitsR88","hitsR89","hitsR90","hitsR91","hitsR92","hitsR93","hitsR94","hitsR95","hitsR96","hitsR97","hitsR98","hitsR99","hitsR100","age","gender","roulette","gewinnen","endresult","hit_player","BF"
"zgqkbgftdrh7g70t","2023-05-19T08:22:53Z","exp",59,5,7,5,6,4,7,6,3,5,10,5,8,6,4,7,6,5,5,6,5,6,3,6,5,4,5,5,6,6,5,7,4,5,5,3,4,3,6,7,6,6,3,5,8,7,4,6,4,7,4,3,7,7,6,5,8,4,5,5,7,2,6,7,6,7,7,7,4,5,5,3,4,7,3,3,7,6,5,5,4,6,7,4,5,7,4,4,4,5,5,2,4,4,6,6,5,4,4,4,7,56,"weiblich","Ja",2,640,7,1
"zbvn3a8z5l4u28rj","2023-05-19T09:04:07Z","exp",16,5,9,7,4,5,6,6,4,4,7,5,4,7,6,5,5,7,4,3,5,6,5,4,3,5,5,4,5,5,2,7,5,4,4,8,7,2,3,3,3,2,5,6,6,4,8,5,7,7,6,2,4,4,3,5,6,5,6,5,4,6,5,3,5,5,5,3,6,6,4,3,6,5,7,5,4,3,7,3,3,4,4,4,3,6,6,5,6,6,6,6,4,5,4,5,4,4,6,4,3,54,"weiblich","Ja",1,-160,7,1
"9o866swzt3crag8v","2023-05-19T09:29:38Z","exp",79,5,4,6,8,4,5,6,6,5,7,5,4,5,6,6,6,4,6,5,6,5,5,4,5,5,3,7,5,3,6,4,4,4,7,7,3,5,6,7,5,4,7,7,5,3,7,8,5,8,6,6,2,5,6,5,4,2,4,8,3,3,6,4,7,5,7,4,7,3,4,3,5,4,5,4,6,5,5,3,6,4,8,7,3,6,4,7,4,3,7,3,5,3,6,3,4,9,4,7,5,53,"weiblich","Ja",4,340,6,2.1533272156470473
"fslsxma920uu0g78","2023-05-19T10:19:02Z","con",6,5,6,6,6,4,2,3,6,4,3,3,5,3,4,5,10,6,2,4,5,6,3,6,7,7,6,7,2,6,6,5,3,7,3,8,6,4,4,5,2,5,5,6,4,3,6,6,4,3,4,4,3,5,6,2,3,7,2,4,4,3,5,7,5,6,4,5,7,6,5,5,6,4,6,5,5,4,5,4,4,4,4,4,6,6,3,6,5,6,4,4,5,4,7,4,3,1,7,7,6,26,"männlich","Ja",3,60,3,1.0930361001065168
"65q5nccgvu2n1tjv","2023-05-19T10:37:31Z","exp",43,5,5,5,6,6,5,2,8,4,6,4,4,4,6,3,3,4,6,3,7,5,4,7,6,1,3,5,6,6,5,7,7,3,7,5,2,4,2,5,6,6,3,3,5,6,6,6,6,7,4,6,9,3,6,3,7,6,5,3,5,6,5,3,7,5,7,4,4,4,5,5,5,6,6,3,8,6,6,4,3,4,6,4,7,5,6,6,3,7,8,3,7,5,5,7,8,6,7,5,6,23,"männlich","Ja",5,380,5,1.0940817836358088
"zxagtey6p6n40krh","2023-05-19T11:47:20Z","exp",79,7,4,6,4,3,6,6,2,4,4,5,3,7,6,6,3,2,4,5,5,5,6,6,6,5,5,6,6,8,6,2,3,5,6,6,6,5,7,5,6,4,5,3,7,5,5,5,5,7,3,4,6,6,5,4,3,5,6,7,6,6,6,4,5,4,6,6,7,7,6,3,7,8,1,5,7,6,6,4,6,6,6,6,4,5,8,5,5,3,4,7,6,7,5,5,8,7,3,4,6,26,"männlich","Ja",1,560,6,1.2146942240494725
"0xe5vxzs9yb1oqu6","2023-05-19T11:58:05Z","con",99,2,5,8,4,4,4,2,6,8,5,4,5,3,4,6,6,7,6,6,9,6,5,4,4,4,5,5,4,5,7,8,5,7,6,4,6,4,6,6,3,4,6,3,5,5,6,8,5,5,3,5,3,2,5,8,6,5,4,4,4,8,6,6,2,3,5,5,4,6,5,3,2,5,5,4,6,5,6,4,7,6,4,4,4,7,5,4,4,3,4,4,5,5,2,7,4,6,4,4,7,21,"männlich","Ja",5,140,7,1.4864687257997973
"bgs2fd3prel15sju","2023-05-19T12:43:54Z","con",44,4,5,5,5,6,4,3,1,6,4,3,5,3,4,4,3,6,2,5,7,7,8,7,4,6,3,4,5,5,2,7,7,6,4,7,9,6,2,5,6,1,5,5,4,6,5,6,9,4,7,3,8,4,5,5,5,5,7,7,6,3,4,5,6,7,7,1,6,5,7,4,7,5,5,3,7,5,4,5,6,5,6,7,4,6,4,5,6,4,1,3,6,3,6,5,6,5,5,5,4,21,"weiblich","Ja",3,120,6,1.729021605101833
"bepok9oztq1slcl9","2023-05-19T16:26:03Z","exp",40,4,6,5,4,5,6,3,6,5,6,3,5,5,7,4,7,8,7,5,5,5,6,4,4,2,6,4,3,6,5,5,6,2,5,4,4,5,4,5,4,6,3,5,5,7,7,3,6,6,3,6,5,4,4,6,4,3,5,4,4,4,8,5,2,8,5,5,3,7,3,6,5,2,5,5,6,6,5,8,5,4,6,6,6,5,5,5,5,3,5,5,5,3,6,3,3,3,0,3,4,23,"weiblich","Ja",6,-320,6,2.064230325690473
"p920p1jh1dg7xn4l","2023-05-19T16:26:35Z","con",42,5,5,4,7,8,6,6,6,5,4,2,6,7,5,3,7,5,4,5,7,6,7,6,5,7,2,3,7,6,4,6,6,6,3,5,6,3,3,5,6,4,4,4,7,8,4,6,5,6,7,4,4,6,4,6,6,5,3,7,7,6,4,8,8,6,5,7,3,3,4,6,6,4,7,6,7,6,4,4,6,3,5,5,3,3,3,5,5,4,5,2,3,6,7,5,5,5,2,7,5,23,"weiblich","Ja",6,80,4,1.6459299877229385
"ndl86n3kmp3mcbeu","2023-05-19T18:10:59Z","exp",18,1,4,3,2,3,6,2,3,6,5,6,5,4,5,6,5,4,4,4,6,6,6,5,5,6,3,4,4,4,8,4,3,5,7,7,4,5,6,5,3,6,4,6,4,6,8,4,4,6,6,4,5,4,6,5,3,5,4,3,8,4,4,4,4,7,5,4,3,6,4,4,4,6,4,7,6,5,5,5,4,3,4,6,4,5,7,5,6,6,2,8,3,8,5,4,5,6,8,5,7,26,"männlich","Ja",3,-160,4,1.3897006889573857
"9o3733tshdvqhwux","2023-05-19T18:30:57Z","con",33,6,4,4,4,3,3,5,6,5,4,6,4,4,8,5,2,4,6,4,7,4,8,6,3,1,4,6,6,4,1,8,3,4,7,4,6,4,5,7,4,3,1,4,6,7,6,5,4,5,6,6,5,5,4,2,7,2,8,3,4,3,4,4,5,4,3,6,5,5,4,4,6,5,4,4,6,4,7,3,4,5,2,3,3,5,5,5,3,5,5,3,5,6,4,6,7,9,6,7,5,20,"weiblich","Ja",5,140,7,1.7207697397278403
"16gfwhuexyoj2mn8","2023-05-19T20:55:49Z","con",96,5,5,4,5,5,6,6,6,5,4,4,6,6,4,9,3,4,5,5,5,2,2,5,4,6,4,7,3,4,5,7,4,4,4,3,6,6,5,5,4,4,3,3,5,6,4,4,6,6,7,2,5,8,5,4,7,2,5,5,5,5,6,4,4,5,5,6,9,6,5,3,7,5,6,6,7,7,6,6,6,7,6,2,5,5,8,4,3,5,5,6,6,6,5,5,4,8,6,9,4,21,"divers","Ja",2,160,8,2.278448108920456
"6dckbr8voh0dk5yb","2023-05-19T20:57:59Z","exp",14,3,5,3,2,4,7,6,1,3,3,4,6,6,5,1,7,7,6,5,6,3,8,7,5,3,5,6,3,2,7,8,3,4,8,5,5,5,7,5,6,6,5,6,5,5,4,5,7,6,3,5,6,6,6,5,4,7,7,6,4,4,5,4,5,6,7,5,4,6,4,6,5,6,5,5,5,7,4,4,4,4,5,6,7,7,3,3,4,7,3,4,4,6,7,6,5,4,4,4,5,21,"weiblich","Ja",1,140,1,1.1681579148778707
"41tnq11aphdgctv6","2023-05-21T14:43:52Z","con",57,4,6,5,8,5,6,5,4,2,6,5,6,5,3,4,4,6,5,5,5,4,6,6,4,6,4,4,1,4,6,3,4,5,4,5,4,2,4,6,7,7,6,4,5,3,6,9,4,6,4,6,5,5,4,5,3,4,4,3,6,6,6,4,4,3,6,6,3,3,2,4,6,7,6,5,2,7,4,5,5,7,7,3,5,5,7,4,6,3,7,6,3,5,6,5,6,3,3,5,2,27,"weiblich","Ja",6,80,4,1.0774545739546428
"3yckcyy76j0pjs0r","2023-05-21T16:09:56Z","con",97,5,3,7,7,8,6,7,6,4,7,8,5,5,6,5,5,5,6,7,4,8,6,4,6,7,5,5,6,5,4,6,6,3,5,8,7,5,6,6,5,3,6,6,6,4,6,5,5,2,6,5,8,7,3,4,7,4,6,7,3,6,2,6,6,5,4,4,7,7,7,4,3,6,2,4,4,3,5,6,7,4,6,8,5,6,8,6,6,4,4,6,2,5,6,5,3,4,8,5,6,26,"männlich","Ja",1,160,8,1.2930788006524154
"mqcznslhglggsaa1","2023-05-22T10:37:47Z","exp",48,9,8,3,4,5,4,4,6,4,3,7,5,6,4,4,4,8,9,1,6,4,5,6,3,6,7,3,6,5,6,8,6,6,2,1,5,4,6,4,4,6,7,5,7,3,2,5,3,8,7,4,3,6,3,5,5,3,5,4,5,4,6,3,4,5,4,5,5,3,5,4,1,3,7,6,6,4,5,3,7,4,4,4,2,7,4,4,5,4,4,9,5,5,0,7,5,7,6,5,6,21,"weiblich","Ja",2,-220,8,1.57714284928025
"qx5bek18ecezv2wl","2023-05-23T16:19:41Z","exp",58,6,6,8,5,5,5,6,6,3,2,6,3,6,4,2,5,2,8,7,8,4,2,4,5,4,7,4,6,3,4,4,6,8,6,6,3,5,8,3,5,3,5,5,4,5,7,3,7,6,7,4,6,2,3,5,5,6,5,6,3,5,3,4,6,5,5,6,3,4,5,6,6,4,4,4,6,6,4,7,5,6,5,6,4,6,6,8,4,4,7,5,5,3,3,2,4,4,4,3,5,21,"männlich","Ja",3,-120,6,1.7267502851343581
"f7btb0pk68vt8yt7","2023-05-24T19:07:15Z","exp",46,4,5,7,4,6,6,4,4,3,5,5,1,3,7,5,3,6,7,7,6,7,5,6,7,6,3,7,6,4,5,4,4,5,2,4,3,4,3,9,6,4,5,5,2,7,4,3,4,2,4,6,5,7,4,6,5,4,6,5,7,8,3,4,5,8,6,8,6,7,6,5,3,5,7,5,6,4,3,7,7,5,8,2,4,7,7,4,4,3,3,4,5,2,6,6,7,5,8,4,3,53,"weiblich","Nein",5,160,3,1.4021813934954486
"t6s24s3k8l3kygvn","2023-05-24T21:08:21Z","exp",17,7,4,5,4,4,7,2,4,6,3,3,2,5,6,7,6,3,5,6,5,7,4,6,7,6,6,7,4,3,5,5,6,4,5,5,7,4,4,6,3,5,4,5,5,5,9,5,7,5,6,6,5,6,5,5,2,4,5,5,4,3,6,7,5,5,5,5,4,3,6,5,6,5,3,3,6,4,8,6,7,2,6,3,2,5,2,3,3,3,6,5,3,5,4,5,7,5,4,7,4,57,"männlich","Ja",1,-160,5,1.4034116520679294
"atcbtv27lkd6jg4z","2023-05-26T17:10:36Z","exp",45,3,4,7,5,4,10,5,5,4,4,3,6,6,6,2,5,4,7,7,2,3,5,7,5,4,4,10,4,6,4,5,5,5,6,7,6,3,2,4,6,6,3,3,7,5,4,4,4,6,3,6,5,6,4,5,3,7,2,6,3,5,3,3,4,6,6,5,6,3,7,5,6,5,7,3,6,4,3,5,6,4,6,4,5,7,4,3,2,6,6,7,3,5,4,4,3,7,7,4,5,19,"weiblich","Ja",1,-180,4,1.2893599215449472
"pp3onfrsnrbyad0g","2023-06-15T10:08:42Z","con",73,4,5,3,6,4,6,7,6,2,5,5,6,5,5,3,4,5,4,5,5,5,6,5,6,6,3,4,5,5,3,6,6,7,5,5,8,3,6,4,5,2,7,3,6,4,4,8,4,6,6,6,5,6,4,5,8,5,4,7,6,5,4,6,4,6,6,7,6,4,6,5,5,7,6,4,5,5,6,3,3,3,4,9,7,7,5,6,3,2,4,5,6,4,4,3,4,5,2,4,5,19,"männlich","Ja",4,120,6,1.388513624770616
"hg1y23mzq1hst413","2023-06-15T12:41:15Z","exp",70,1,2,5,9,7,5,4,3,5,6,5,4,2,9,2,5,6,6,5,7,5,4,5,4,5,4,6,5,7,4,5,5,5,4,2,7,3,4,4,2,6,7,4,5,4,2,4,5,4,6,6,4,7,5,7,6,4,4,5,7,5,5,5,5,5,5,4,3,4,5,3,5,5,2,4,2,4,4,5,7,6,5,5,5,4,6,6,4,4,5,7,7,4,3,6,7,5,6,5,4,21,"weiblich","Nein",4,-280,3,1.170237460256583
"p7z6nsu2zjst502a","2023-06-15T13:56:50Z","exp",93,5,4,6,6,7,2,5,5,4,5,4,4,3,4,7,6,3,5,6,5,5,5,6,5,4,0,6,7,7,7,4,5,3,7,8,6,8,4,6,4,4,4,6,5,5,2,5,5,2,5,5,2,7,5,4,6,7,3,7,5,5,8,6,6,7,4,4,4,3,4,4,4,7,7,4,6,3,5,4,4,4,5,7,5,4,5,4,4,6,4,6,5,5,5,8,3,7,6,5,4,19,"weiblich","Ja",6,60,5,1.168693006632061
"q0sajmdbwtykhuq1","2023-06-15T13:56:56Z","con",76,5,7,6,7,3,3,6,4,3,5,4,5,4,4,3,4,5,4,5,5,4,3,4,5,4,5,3,7,7,4,4,5,7,6,3,8,4,2,3,4,2,2,4,5,4,2,3,6,3,5,2,3,5,4,6,7,4,6,2,6,4,7,8,7,4,4,4,7,5,7,6,5,9,8,5,5,3,4,5,6,2,4,4,7,5,5,4,8,4,6,6,2,6,5,6,6,7,7,4,7,21,"weiblich","Ja",3,60,3,1.0093560083650353
"2h4cf54gue0b6v03","2023-06-15T13:58:37Z","exp",25,7,7,5,6,4,6,7,6,2,6,4,7,7,5,5,6,4,2,6,5,6,6,5,8,4,4,4,6,8,5,4,3,5,4,6,5,6,4,9,8,5,4,3,2,3,8,6,5,6,6,4,8,3,4,4,7,4,6,5,3,3,5,5,7,5,6,4,6,3,4,5,1,4,6,2,4,1,4,4,6,5,1,6,2,4,6,4,8,4,6,4,4,3,7,5,7,3,4,5,3,20,"weiblich","Ja",6,-120,4,0.9454426508235199
"kva5elhhjq552ty8","2023-06-15T14:10:26Z","con",97,3,3,6,6,3,3,6,8,4,6,6,6,5,7,4,7,5,2,5,6,3,3,4,6,5,7,5,6,4,7,3,3,2,6,2,4,3,5,6,5,1,6,4,8,5,2,6,5,3,4,3,6,6,6,7,2,6,5,3,6,4,4,4,6,4,5,4,8,3,6,7,7,4,6,3,6,4,2,7,6,6,3,5,4,3,4,4,4,4,2,5,4,4,5,1,4,3,6,3,3,21,"weiblich","Ja",5,120,6,0.9987989626627808
"6hnx1gdjeob2fjym","2023-06-15T14:37:30Z","con",56,6,6,3,5,5,4,5,3,5,4,4,5,5,6,6,4,4,4,6,2,4,5,5,4,5,5,3,4,3,5,9,9,3,7,3,7,9,6,3,5,5,6,2,5,7,4,6,5,3,2,7,5,7,5,3,7,6,5,5,7,5,6,5,5,4,4,6,4,4,5,6,3,3,5,5,4,5,5,5,2,6,4,4,7,4,8,5,3,5,4,6,4,3,3,5,2,5,7,5,5,20,"weiblich","Ja",5,120,6,1.0586661316117874
"mdbb66kttewzojsw","2023-06-15T14:51:02Z","con",95,7,6,6,4,7,7,6,3,3,7,4,6,5,3,3,3,5,5,5,7,6,5,5,4,4,6,5,9,4,7,5,7,7,6,4,3,6,5,7,7,8,3,6,4,4,6,8,6,7,5,4,7,7,5,6,5,8,7,3,5,4,5,4,6,4,3,3,7,3,4,4,4,3,4,5,4,3,8,5,4,2,3,4,4,6,5,3,6,7,5,5,4,6,7,7,4,5,6,4,5,21,"weiblich","Ja",1,80,4,0.9884538025425709
"5uqpop9qnms5uvm5","2023-06-15T16:16:14Z","exp",5,3,3,6,5,3,5,8,4,2,4,4,6,6,6,6,1,8,6,5,8,5,6,4,8,3,4,6,5,6,7,6,8,2,5,4,6,6,5,4,7,4,6,4,5,5,5,6,4,3,4,7,5,5,3,5,4,3,5,7,5,4,7,3,4,3,5,4,4,5,2,4,4,4,5,6,3,3,6,6,8,4,6,6,6,4,4,5,4,3,7,5,3,7,5,6,4,4,6,4,4,21,"weiblich","Ja",5,-140,5,0.9857560130420332
"4s79fgrzj1cp67yu","2023-06-16T12:26:24Z","con",63,8,5,6,5,4,6,5,10,7,5,7,5,4,7,4,2,7,5,6,4,3,3,8,7,4,5,5,6,5,6,5,7,4,3,4,5,6,9,5,6,4,5,8,6,5,6,5,3,4,3,5,3,3,7,4,5,5,3,4,4,4,4,6,5,6,3,3,8,4,5,8,4,2,5,6,4,8,2,5,5,5,5,5,7,7,6,6,6,4,4,2,6,6,5,4,5,4,7,5,5,19,"weiblich","Ja",5,100,5,0.9830883551149916
"yls3yy8ps4nu1e0c","2023-06-16T19:29:02Z","exp",98,4,6,6,5,5,3,4,2,9,4,7,7,1,4,5,6,5,3,4,1,6,5,4,4,7,5,5,5,5,7,6,5,7,5,6,6,6,4,5,4,3,4,6,5,5,5,5,6,5,5,4,6,6,6,4,3,6,5,4,9,4,7,4,8,5,2,3,9,3,7,4,5,3,4,6,3,4,4,2,3,6,6,6,6,4,6,3,7,4,3,3,6,2,6,5,5,5,6,7,7,20,"divers","Ja",1,-40,7,1.1050823359823008
"wmhqs3l74ju1qnp6","2023-06-20T06:22:12Z","con",56,4,6,4,2,6,7,6,6,3,5,5,4,5,4,4,5,5,5,9,2,4,6,3,6,6,4,2,7,6,6,4,2,4,6,2,6,7,5,3,3,5,4,4,5,6,5,5,3,6,5,5,5,3,5,6,5,6,6,3,3,6,5,2,5,5,4,3,8,6,4,5,4,7,7,4,5,6,3,5,8,6,7,6,4,4,5,4,6,7,4,2,5,7,6,3,7,3,7,7,7,49,"weiblich","Ja",3,120,6,1.1788693533083447
"gnxusrys4xb91xcl","2023-06-22T09:09:51Z","con",1,5,5,6,6,6,3,7,5,4,3,2,5,3,6,6,5,5,3,5,3,2,7,8,3,5,6,5,3,7,4,4,5,4,5,8,6,4,5,6,2,5,3,3,5,6,5,6,6,3,4,5,5,6,4,5,5,4,8,5,7,5,4,4,6,6,4,7,7,6,3,6,2,4,6,6,5,6,4,4,5,4,6,7,5,5,7,5,5,4,5,3,2,8,3,6,3,4,5,6,3,18,"weiblich","Nein",4,100,5,1.177265988520625
