"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","MED_TÖNE","DE01","DE02_01","DE03","DE04","ME02","ME01","ME03","ME04","ME05","ME05_01","ME05_02","ME05_03","ME05_04","ME05_07","ME05_08","ME05_05","ME05_05a","ME05_06","ME05_06a","ME05_09","ME06","ME06_01","ME06_02","ME06_03","ME06_04","ME06_05","ME06_05a","ME07","ME08","PT01","PT02_01","PT02_02","PT02_03","PT02_04","PT02_05","PT03_01","PT03_02","PT03_03","PT03_04","PT03_05","PT04_01","PT04_02","PT04_03","PT05_01","PT06_01","PT06_02","TIME001","TIME002","TIME003","TIME004","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME","BF"
9,NA,"y28hc9","base","interview","ger","03.11.2016 20:59",48,1,24,1,NA,1,3,2,2,2,1,1,1,1,1,1,2,"Kundalini Meditation",2,"Merkabameditation",NA,1,2,1,1,1,NA,"",NA,NA,4,4,5,4,1,2,4,3,2,5,1,2,5,4,"Ich vermute ihr untersucht die Wirkung von Störtönen nach einer Meditation für Herzensgüte, Liebe und Wärme und versucht zu erfahren, ob das in Bezug mit Meditaitonspraxis steht.",NA,NA,20,7,115,314,456,NA,"03.11.2016 21:06",1,0,4,4,0,0,"0.81",4,1
10,NA,"fmbvda","base","interview","ger","04.11.2016 17:59",57,1,55,1,NA,1,3,1,4,2,2,1,1,1,1,1,2,"christl. kontemplation,jesusgebet",1,"",NA,3,2,2,1,2,NA,"",NA,NA,4,3,3,1,1,2,2,2,1,2,4,1,4,3,"Zum einen, welche Meditationsformen mehr Anklang, Zuspruch, Akzeptanz finden,
zum anderen, wie sie wirken.
Normalerweise liebe ich die Klangmeditation mit der Klangschale,aber beim Test konnte der Ton nicht ausschwingen, auch die Abfolge war unangenehm. Immer eine Klangart wäre besser.",NA,NA,34,11,84,211,340,NA,"04.11.2016 18:05",1,0,4,4,0,0,"0.71",0,1
11,NA,"3dgk5o","base","interview","ger","08.11.2016 11:21",48,2,27,1,NA,1,3,1,4,5,1,2,2,2,1,1,2,"Vipassana",2,"Samatha",NA,3,2,2,2,1,NA,"",NA,NA,3,4,4,1,2,2,3,4,1,2,3,4,3,3,"Priming durch Meditation?
Zusammenhang von Liebender Güte Meditation und der kognitiven/affektiven Bewertung von Akustischen Reizen?
Metta-Meditation hat einen Einfluss positiven Einfluss auf die individuelle Emotionsregulation?
Gibt es unterschiede in der im Wahrnehmung (aversiv/neutral/angenehm) der Klänge zwischen Teilnehmern mit Meditationserfahrung (und evtl. auch innerhalb dieser Gruppe bzgl. des angegebenen Praxis-Zeitraums) und Teilnehmern ohne Meditationserfahrung?
Empfinden (geübte) Meditierende mehr Liebende Güte und Mitgefühl als Personen ohne Meditationserfahrung? ",NA,NA,14,5,75,588,229,NA,"08.11.2016 11:32",1,0,4,4,0,0,"1.07",14,0.9605152894627086
12,NA,"0dgftt","base","interview","ger","08.11.2016 14:55",54,2,32,1,NA,1,4,1,2,2,2,2,1,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,3,2,4,4,2,2,2,3,4,3,3,3,3,3,"",NA,NA,90,9,95,147,269,NA,"08.11.2016 15:01",1,0,4,4,4,3,"0.72",0,1.0879863669389245
14,NA,"coa3md","base","interview","ger","11.11.2016 22:53",49,2,34,2,3,1,2,1,4,2,1,2,2,1,1,1,1,"",1,"",NA,1,1,2,1,1,NA,"",NA,NA,5,5,1,1,1,1,5,1,1,1,1,5,5,5,"Wirkung der Töne auf die Gefühlsempfindung",NA,NA,72,17,68,287,390,NA,"11.11.2016 23:00",1,0,4,4,0,0,"0.57",1,1.0407762519994816
16,NA,"voruv6","base","interview","ger","15.11.2016 20:29",55,2,26,1,NA,1,3,2,4,3,2,2,2,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,3,2,3,3,1,1,1,2,3,3,4,3,2,1,"keine Ahnung",NA,NA,15,4,58,233,310,NA,"15.11.2016 20:34",1,0,4,4,0,0,"1.31",21,1.2365026612251955
18,NA,"z8c3ud","base","interview","ger","16.11.2016 12:46",53,1,26,1,NA,1,4,1,5,1,1,1,1,1,1,1,2,"waldtradition (samatha/vipassana/metta)",1,"",NA,3,2,1,2,2,NA,"",NA,NA,4,5,5,1,1,1,5,5,2,1,2,4,4,4,"Wie das Wahrnehmen- können eigener Gefühle mit äußerm Input (Sprache/Klang) zusammen hängen könnte? Selbsteinschätzung....??",NA,NA,31,6,117,261,415,NA,"16.11.2016 12:52",1,0,4,4,0,0,"0.8",6,1.4230739492577071
19,NA,"tbgjzk","base","interview","ger","16.11.2016 16:19",52,2,45,1,NA,1,5,3,3,1,2,1,1,1,1,1,1,"",1,"",NA,3,2,2,2,1,NA,"",NA,NA,3,2,2,3,2,3,1,1,1,2,3,3,2,4,"",NA,NA,26,8,63,93,190,NA,"16.11.2016 16:22",1,0,4,4,4,3,"1.1",9,1.6049632637672868
21,NA,"184x5l","base","interview","ger","16.11.2016 17:08",51,1,65,1,NA,1,5,1,3,1,1,1,1,1,1,1,2,"",1,"",NA,1,2,1,1,1,NA,"",NA,NA,2,3,3,4,5,1,4,4,2,3,1,3,4,2,"Der Proband könnte 30 Minuten nur einen Ton hören und anschließend Angaben zu Farbwahrnehmung, emotionalem Zustand, spirituellem Zustand und Körpergefühl machen. Pro Testreihe und Tag sollte nur ein Klangschalenton getestet werden. Es geht darum wie jeder Ton den Menschen auf allen Ebenen verändert.,",NA,NA,72,13,74,770,240,NA,"16.11.2016 17:24",1,0,4,4,4,4,"0.52",0,1.7317276488941746
22,NA,"zztja2","base","interview","ger","16.11.2016 18:15",45,1,62,1,NA,1,5,2,4,3,2,1,1,1,1,1,2,"christliche Meditation",2,"",NA,1,2,1,1,1,NA,"",NA,NA,4,3,4,2,2,1,4,3,3,3,1,4,4,3,"1....DIE ENTSPANNUNG FOERDERN
2....RUHE & BALANCE IN GEDANKENGAENGEN
3    GEFUEHLSEBENE VON SOUND & REAKTION IN ENTSPANNUNG & RELAXION",NA,NA,35,15,159,340,256,NA,"16.11.2016 18:24",1,0,4,4,4,3,"0.49",0,1.195316481864263
24,NA,"zmcnse","base","interview","ger","16.11.2016 20:13",55,2,24,2,1,1,3,3,2,1,1,1,1,1,1,1,2,"spiritual",1,"",NA,1,2,1,1,1,NA,"",NA,NA,2,1,2,2,2,3,2,2,3,3,3,2,2,3,"",NA,NA,31,33,94,66,200,NA,"16.11.2016 20:17",1,0,4,4,4,3,"0.91",13,1.437812646257498
26,NA,"rqh3t9","base","interview","ger","18.11.2016 16:51",44,2,72,2,3,1,5,4,2,2,1,2,1,1,1,1,1,"",2,"",NA,2,2,2,1,1,NA,"",NA,NA,5,4,4,1,1,1,5,4,1,1,1,4,5,4,"die Auswirkngen der Klangschalen wähend des Meditierens ..",NA,NA,81,16,83,283,400,NA,"18.11.2016 16:59",1,0,4,4,4,3,"0.53",0,1.0573822814370641
28,NA,"34qtns","base","interview","ger","19.11.2016 18:15",56,2,37,1,NA,1,2,2,4,3,1,2,2,1,1,1,2,"Vipassana",1,"",NA,2,2,2,1,1,NA,"",NA,NA,3,4,3,1,1,1,3,3,1,1,3,4,2,4,"Quanten...",NA,NA,20,6,75,136,237,NA,"19.11.2016 18:19",1,0,4,4,0,0,"1.08",6,1.2571517883394303
29,NA,"0nqy1e","base","interview","ger","19.11.2016 18:44",50,1,17,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,3,2,1,1,3,3,1,1,1,3,2,4,5,"wie man jemanden entspannen kann und wie man einen unentspannen kann",NA,NA,13,19,NA,160,192,NA,"19.11.2016 18:47",1,0,3,4,0,0,"0.9",6,1.2578694346985444
30,NA,"gaer8y","base","interview","ger","21.11.2016 15:12",52,1,17,1,NA,1,3,4,1,1,1,1,1,2,1,1,1,"",1,"",NA,1,1,2,1,1,NA,"",NA,NA,2,3,1,5,2,3,2,1,1,1,3,5,3,1,"Funktionsweisen von Meditation, bzw. Auslöser und Reaktionen bei Meditationen",NA,NA,20,5,36,109,170,NA,"21.11.2016 15:15",1,0,4,4,0,0,"1.48",25,1.3572269498360123
31,NA,"29y5mc","base","interview","ger","21.11.2016 17:49",52,2,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,3,2,1,1,1,3,2,1,1,1,4,4,3,"Das beeinflussen von Musik auf die Gefühle und ob bestimmte Emotionen durch Sie geweckt werden können",NA,NA,16,7,NA,142,165,NA,"21.11.2016 17:51",1,0,3,4,0,0,"1.12",7,1.474442251208622
32,NA,"lktpcc","base","interview","ger","22.11.2016 13:36",52,2,30,1,NA,1,4,2,2,2,2,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",NA,NA,4,5,4,2,2,3,2,4,2,2,4,2,5,4,"Die Auswirkug verschiedener Klänge auf die Emotionen im Körper.",NA,NA,22,6,46,157,231,NA,"22.11.2016 13:40",1,0,4,4,0,0,"1.18",13,1.6135036538941365
33,NA,"aqmtns","base","interview","ger","22.11.2016 14:24",59,1,22,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,2,3,3,1,2,1,2,1,1,4,5,4,3,"",NA,NA,13,8,NA,112,133,NA,"22.11.2016 14:26",1,0,3,4,5,4,"1.24",12,2.1238023271862927
34,NA,"hpu41m","base","interview","ger","22.11.2016 15:11",53,2,46,1,NA,1,5,4,3,1,1,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",NA,NA,3,4,3,4,1,2,3,2,1,1,3,1,4,3,"Vermutlich kommt die eigentliche Frage ganz am Schluß:-)",NA,NA,20,7,89,132,248,NA,"22.11.2016 15:15",1,0,4,4,0,0,"1",4,2.4801831135777466
35,NA,"0yon9p","base","interview","ger","22.11.2016 16:44",45,1,41,1,NA,1,4,4,1,1,1,1,1,2,1,1,1,"",1,"",NA,1,1,2,1,1,NA,"",NA,NA,1,1,1,1,1,1,1,1,1,1,1,5,5,5,"",NA,NA,17,5,32,53,107,NA,"22.11.2016 16:46",1,0,4,4,4,3,"1.9",45,1.789040835104528
36,NA,"b65fx1","base","interview","ger","22.11.2016 18:34",54,1,50,1,NA,1,3,3,2,3,2,2,1,1,1,1,2,"Entspannung",1,"",NA,1,2,1,1,1,NA,"",NA,NA,2,4,3,2,1,3,3,3,2,1,2,2,4,5,"",NA,NA,13,6,88,105,212,NA,"22.11.2016 18:38",1,0,4,4,4,3,"1.24",15,2.111363074751184
37,NA,"g861rg","base","interview","ger","23.11.2016 15:22",43,1,17,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,3,1,2,1,4,2,1,1,1,5,5,4,3,"Beeinflussung von Tönen auf die wahrgenommene Stimmingslage, die Konzentrationsfähigkeit",NA,NA,19,9,NA,134,162,NA,"23.11.2016 15:24",1,0,3,4,0,0,"0.98",0,1.4435370226084783
38,NA,"bqah2m","base","interview","ger","23.11.2016 16:43",51,2,17,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,2,1,1,2,4,2,1,1,2,4,5,5,"",NA,NA,14,5,NA,60,79,NA,"23.11.2016 16:44",1,0,3,4,5,4,"1.78",39,1.4971049880458749
39,NA,"ryc24z","base","interview","ger","23.11.2016 17:16",60,1,17,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,1,1,4,1,1,2,3,1,1,2,3,5,1,"Auswirkungen von Meditation",NA,NA,11,5,NA,106,122,NA,"23.11.2016 17:18",1,0,3,4,0,0,"1.57",28,1.941924921588
40,NA,"yeg9cf","base","interview","ger","23.11.2016 21:17",51,2,38,1,NA,1,4,3,3,1,1,2,1,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,4,4,4,1,1,1,4,4,1,1,1,4,4,2,"Welche Gefühlsregungen tauchen bei einer Klangschalenmeditation auf? Welche bei einer geführten Metta Meditation? Vielleicht auch ganz was anderes.",NA,NA,15,8,62,162,247,NA,"23.11.2016 21:21",1,0,4,4,0,0,"1.08",6,2.0283788218812515
41,NA,"a527xk","base","interview","ger","24.11.2016 11:52",46,2,24,1,NA,1,3,4,2,2,2,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",NA,NA,3,4,3,3,1,1,2,1,1,4,5,4,4,1,"Den Unterschied in der affektiven Resonanz zwischen Liebe-Güte- und Klangmeditation.",NA,NA,20,4,42,115,181,NA,"24.11.2016 11:55",1,0,4,4,0,0,"1.5",26,1.6939864580011703
42,NA,"cljb5d","base","interview","ger","24.11.2016 15:19",51,1,18,1,NA,1,1,3,1,1,1,2,1,1,1,1,1,"",1,"",NA,1,1,2,1,1,NA,"",NA,NA,4,5,3,2,1,1,3,1,1,1,3,5,4,2,"",NA,NA,11,5,60,82,158,NA,"24.11.2016 15:22",1,0,4,4,4,3,"1.56",28,1.7600585455531224
43,NA,"nh9rl0","base","interview","ger","24.11.2016 16:01",54,1,18,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,4,2,4,1,4,3,2,3,1,4,4,5,1,"Konzentrationsfähigkeit, Inwiefern können Mediation und Klänge den Zuhörer beeinflussen",NA,NA,23,8,NA,288,319,NA,"24.11.2016 16:06",1,0,3,4,0,0,"0.79",2,2.0270002354721846
44,NA,"v23zjs","base","interview","ger","24.11.2016 16:39",58,1,18,1,NA,1,1,2,2,1,1,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",NA,NA,4,4,3,3,4,1,3,2,1,4,3,5,4,2,"Das Auslösen von Emotionen durch Klänge",NA,NA,16,7,51,111,185,NA,"24.11.2016 16:42",1,0,4,4,0,0,"1.25",13,2.6163304912281493
45,NA,"nhn98y","base","interview","ger","24.11.2016 17:19",55,1,17,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,4,1,2,1,3,4,1,1,1,4,3,2,5,"Wie Menschen sich bei der Meditation fühlen und bei welchen Geräuschen sie besonders entspannen und bei sich sind.",NA,NA,16,5,NA,135,156,NA,"24.11.2016 17:22",1,0,3,4,0,0,"1.31",15,3.210851695703883
46,NA,"ye7tbg","base","interview","ger","24.11.2016 18:04",53,1,55,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,5,4,4,1,1,2,2,1,1,1,4,2,3,5,"Mit welchen Methoden Meditation am Besten wirkt",NA,NA,19,13,NA,295,327,NA,"24.11.2016 18:10",1,0,3,4,0,0,"0.7",0,3.7229360420918307
47,NA,"eqsm5n","base","interview","ger","25.11.2016 14:13",52,1,18,1,NA,1,1,4,2,1,2,1,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",NA,NA,4,3,5,1,1,3,3,3,1,1,3,5,4,2,"Meditationswirkung auf verschiedene Geschlechter und Altersgruppen im Alltag",NA,NA,25,7,36,106,174,NA,"25.11.2016 14:15",1,0,4,4,0,0,"1.31",19,4.159517393002121
48,NA,"993c4x","base","interview","ger","25.11.2016 15:46",41,1,58,1,NA,1,3,4,3,3,1,2,1,2,2,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,2,3,3,1,1,2,2,2,1,1,3,2,4,4,"WIE STARK SICH PROBANDEN  AUF DIE MEDITATION EINLASSEN KÖNNEN",NA,NA,28,15,73,210,326,NA,"25.11.2016 15:51",1,0,4,4,0,0,"0.71",0,2.296940984813393
49,NA,"4yhqw5","base","interview","ger","26.11.2016 12:57",50,2,54,1,NA,1,5,3,2,1,1,1,1,2,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",NA,NA,4,4,4,1,1,1,3,3,2,2,4,3,3,4,"klngsmeid ist etwas zu leise
mudrahaltung wird nicht erklärt
Geführte Medi hat recht angenehme Musik",NA,NA,14,5,76,134,229,NA,"26.11.2016 13:00",1,0,4,4,0,0,"1.26",14,2.30205332253344
50,NA,"6lb1sw","base","interview","ger","28.11.2016 11:02",50,1,17,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,4,1,1,1,3,2,1,1,2,3,5,2,"Ob man jeden Menschen Liebe und Güte fühlen lassen kann durch die Anleitung dazu; kann man das auch bei Menschen voll Ärger und Wut zu Liebe führt und sie verdrängt werden können, oder ob sie dies nicht durch die Aufforderung beiseite schieben können.",NA,NA,12,12,NA,334,358,NA,"28.11.2016 11:08",1,0,3,4,0,0,"0.88",8,2.306959174569739
51,NA,"4kadb4","base","interview","ger","28.11.2016 11:56",55,1,44,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,2,1,1,1,4,2,1,1,1,2,2,5,1,"Die Fähigkeit, sich auf Entspannungsmethoden einzulassen",NA,NA,14,6,NA,106,126,NA,"28.11.2016 11:58",1,0,3,4,0,0,"1.35",18,2.760465470523859
52,NA,"y9tvwe","base","interview","ger","28.11.2016 20:16",50,2,47,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,4,2,1,1,4,1,1,1,1,3,5,4,3,"Die Wirkung von Klang auf Emotionen",NA,NA,27,12,NA,106,145,NA,"28.11.2016 20:19",1,0,3,4,0,0,"0.9",4,2.767435962080966
53,NA,"np3rmp","base","interview","ger","29.11.2016 14:36",40,2,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,4,2,1,1,1,3,1,1,1,2,5,4,5,"keine Idee",NA,NA,32,5,NA,115,152,NA,"29.11.2016 14:38",1,0,3,4,0,0,"1.18",16,1.7025841672390545
54,NA,"xmnmk7","base","interview","ger","29.11.2016 16:20",51,2,49,1,NA,1,5,1,3,2,1,2,1,1,1,1,2,"TM",1,"",NA,1,2,1,1,1,NA,"",NA,NA,3,2,2,3,2,3,4,4,2,1,1,2,5,2,"Vielleicht ob Klänge während einer Meditation Einfluss auf das Erleben von Gefühlen/körperlichen Sensationen besonders die der Liebe und Güte hat. Und ob das bei den Klangschalenklägen besonders gut funktioniert, bei mir tat es das schon. Schön wars.",NA,NA,55,8,69,305,400,NA,"29.11.2016 16:27",1,0,4,4,0,0,"0.73",2,1.757191103888568
55,NA,"zesjtt","base","interview","ger","29.11.2016 18:30",52,2,39,1,NA,1,4,3,3,1,1,2,1,1,1,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,4,3,3,2,2,3,4,4,1,1,3,3,4,4,"Geführte Meditation vs. Achtsamkeit ?",NA,NA,17,4,27,91,139,NA,"29.11.2016 18:33",1,0,4,4,0,0,"1.85",43,1.8714094230122242
56,NA,"m5rgs4","base","interview","ger","29.11.2016 19:53",48,2,47,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,1,1,1,1,3,1,1,1,1,3,1,3,3,"",NA,NA,35,4,NA,50,89,NA,"29.11.2016 19:54",1,0,3,4,5,4,"1.82",49,1.7476299483435536
57,NA,"ap393e","base","interview","ger","29.11.2016 20:27",53,1,43,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,1,2,1,1,1,2,1,1,1,1,4,2,3,3,"Die Eindrücke/Beurteilung dieser Meditation.",NA,NA,32,13,NA,277,322,NA,"29.11.2016 20:33",1,0,3,4,0,0,"0.58",0,1.9161863148502023
58,NA,"l7yv3c","base","interview","ger","29.11.2016 21:06",50,1,17,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,3,2,1,1,2,2,1,1,1,3,5,3,3,"wie gut diese Mediation auf verschiedene Menschen wirkt",NA,NA,21,7,NA,168,196,NA,"29.11.2016 21:09",1,0,3,4,0,0,"0.98",5,1.9177549949108605
59,NA,"z2y9cn","base","interview","ger","01.12.2016 10:35",54,1,28,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,3,2,2,2,2,4,2,2,2,2,5,2,3,2,"",NA,NA,27,20,NA,120,167,NA,"01.12.2016 10:38",1,0,3,4,5,4,"0.75",2,2.176532220284491
60,NA,"vzc1pk","base","interview","ger","01.12.2016 11:33",44,1,20,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,5,4,1,1,1,5,4,1,1,1,5,5,2,"Auswirkung von Klangmeitationstönen auf das Empfinden positiver Gefühle",NA,NA,16,9,NA,124,149,NA,"01.12.2016 11:35",1,0,3,4,0,0,"1.07",3,1.721423163581383
62,NA,"3u75xp","base","interview","ger","01.12.2016 19:18",41,1,46,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,4,3,3,2,4,2,2,2,2,3,5,5,5,"wie Meditation wirkt",NA,NA,17,8,NA,163,188,NA,"01.12.2016 19:21",1,0,3,4,0,0,"1",3,1.2759054066512805
64,NA,"fjobx6","base","interview","ger","02.12.2016 11:39",50,1,50,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,4,3,3,1,1,1,4,4,2,1,1,3,5,5,"Ob ich mich nach einer eingeleiteten und augenommenen Meditation in der Lage bin mich zu entspannen",NA,NA,20,9,NA,229,258,NA,"02.12.2016 11:43",1,0,3,4,0,0,"0.83",0,1.274623093308619
65,NA,"r57oyo","base","interview","ger","02.12.2016 12:26",47,1,21,1,NA,1,1,3,2,1,1,2,1,1,1,1,1,"",1,"",NA,1,2,1,1,1,NA,"",NA,NA,3,4,4,2,2,2,4,4,1,1,1,3,4,3,"",NA,NA,19,10,71,107,207,NA,"02.12.2016 12:30",1,0,4,4,4,3,"1.03",3,1.1787831199589247
66,NA,"e32qbs","base","interview","ger","02.12.2016 15:49",51,1,31,2,3,1,5,2,3,1,1,1,1,1,2,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,4,5,5,1,1,2,2,1,1,1,5,5,3,3,"die wirkung der Meditation anscheinend :)",NA,NA,25,14,54,121,214,NA,"02.12.2016 15:53",1,0,4,4,0,0,"0.95",5,1.2053796115164799
67,NA,"tfjeky","base","interview","ger","03.12.2016 10:01",52,2,57,1,NA,1,5,2,3,4,1,2,1,2,1,2,2,"Oberstufe Autogenes Training",1,"",NA,1,2,1,1,1,NA,"",NA,NA,5,5,4,1,1,1,4,5,1,1,1,5,5,3,"Wirkungen der meditaionsformen auf das gehirn",NA,NA,31,9,87,152,279,NA,"03.12.2016 10:06",1,0,4,4,0,0,"0.82",0,1.262671815021125
68,NA,"ohlmmn","base","interview","ger","03.12.2016 12:06",44,1,57,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,3,3,1,1,2,3,3,1,1,2,5,5,3,"",NA,NA,43,14,NA,252,309,NA,"03.12.2016 12:11",1,0,3,4,5,4,"0.53",0,1.0790885230137726
69,NA,"pf8mxv","base","interview","ger","04.12.2016 13:02",54,2,32,2,3,1,3,2,4,1,1,1,1,1,2,1,1,"",1,"",NA,2,2,2,1,1,NA,"",NA,NA,2,4,4,1,1,1,2,2,1,1,4,3,3,3,"- Vor-/Nachteile der angeleiteten Meditation
",NA,NA,20,11,91,190,312,NA,"04.12.2016 13:07",1,0,4,4,0,0,"0.8",0,1.174401456164216
70,NA,"kgqzjb","base","interview","ger","04.12.2016 18:41",54,1,52,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,2,1,1,1,1,2,1,1,1,1,2,3,5,1,"",NA,NA,27,30,NA,238,274,NA,"04.12.2016 18:46",1,0,3,4,5,4,"0.51",0,1.2838879665068057
71,NA,"9he17n","base","interview","ger","05.12.2016 15:56",44,1,34,2,3,1,3,3,4,2,1,2,1,1,1,1,2,"",1,"",NA,1,2,1,1,1,NA,"",NA,NA,2,3,3,1,1,1,4,3,1,1,1,5,5,5,"Wie meditation Gefühle und Laune verbessern kann",NA,NA,28,22,77,206,320,NA,"05.12.2016 16:01",1,0,4,4,4,3,"0.66",0,1.098353899086447
